request_id,donor_id,notified_at,responded_at,status,response_time_minutes,distance_km,days_since_last_donation,temporal_hour,is_weekend,historical_response_rate
1087,8674,2025-05-18 13:03:00,,ignored,,14.19,227,13,1,0.6254
644,5381,2025-05-18 16:03:00,,ignored,,12.4,292,16,1,0.4473
1771,2430,2025-05-18 16:10:00,,pending,,7.82,223,16,1,0.3249
1710,9335,2025-05-18 16:20:00,,ignored,,12.12,187,16,1,0.039
1518,5301,2025-05-18 17:50:00,2025-05-18 19:40:00+00:00,declined,110.0,6.5,5,17,1,0.4589
810,5001,2025-05-18 18:50:00,,pending,,5.94,167,18,1,0.1051
2082,5614,2025-05-18 19:24:00,,ignored,,2.16,115,19,1,0.5369
1772,7149,2025-05-18 20:52:00,2025-05-18 23:23:00+00:00,declined,151.0,16.32,217,20,1,0.1375
1551,604,2025-05-18 21:15:00,2025-05-18 22:48:00+00:00,accepted,93.0,11.26,172,21,1,0.5151
677,7133,2025-05-18 21:15:00,2025-05-19 00:14:00+00:00,declined,179.0,6.16,203,21,1,0.237
437,6344,2025-05-18 22:00:00,,ignored,,19.21,109,22,1,0.2082
1590,8922,2025-05-18 22:32:00,2025-05-18 23:57:00+00:00,accepted,85.0,8.01,133,22,1,0.5115
1549,7790,2025-05-18 23:10:00,2025-05-19 00:31:00+00:00,declined,81.0,4.68,302,23,1,0.1622
881,724,2025-05-19 02:31:00,,ignored,,11.86,156,2,0,0.5897
1059,4088,2025-05-19 02:42:00,,ignored,,6.97,305,2,0,0.4679
965,5384,2025-05-19 04:16:00,,ignored,,5.49,208,4,0,0.501
1609,9494,2025-05-19 07:21:00,2025-05-19 08:52:00+00:00,accepted,91.0,7.6,413,7,0,0.4878
1204,4334,2025-05-19 07:26:00,,ignored,,14.24,225,7,0,0.3014
523,8486,2025-05-19 07:36:00,2025-05-19 08:46:00+00:00,accepted,70.0,1.9,137,7,0,0.5915
1156,2582,2025-05-19 07:56:00,,ignored,,3.98,17,7,0,0.0049
1466,8405,2025-05-19 07:59:00,2025-05-19 09:36:00+00:00,accepted,97.0,9.39,201,7,0,0.1549
1737,2306,2025-05-19 08:11:00,2025-05-19 10:20:00+00:00,declined,129.0,3.37,147,8,0,0.3416
213,6946,2025-05-19 08:36:00,2025-05-19 09:35:00+00:00,accepted,59.0,1.47,211,8,0,0.8415
108,8254,2025-05-19 12:40:00,2025-05-19 13:34:00+00:00,declined,54.0,10.86,89,12,0,0.3064
1755,9928,2025-05-19 12:58:00,2025-05-19 14:46:00+00:00,declined,108.0,8.25,271,12,0,0.0768
1163,2774,2025-05-19 15:30:00,2025-05-19 16:21:00+00:00,accepted,51.0,6.14,230,15,0,0.5882
697,1107,2025-05-19 16:06:00,2025-05-19 17:50:00+00:00,declined,104.0,6.09,109,16,0,0.626
1176,2906,2025-05-19 16:15:00,,ignored,,6.5,282,16,0,0.4364
1232,4725,2025-05-19 19:43:00,2025-05-19 20:43:00+00:00,accepted,60.0,3.54,278,19,0,0.5771
1524,8167,2025-05-19 21:06:00,,pending,,6.17,151,21,0,0.4499
1294,3369,2025-05-19 21:15:00,2025-05-19 23:17:00+00:00,declined,122.0,9.09,413,21,0,0.6093
156,8688,2025-05-19 21:54:00,2025-05-19 23:21:00+00:00,accepted,87.0,5.94,150,21,0,0.4087
1738,754,2025-05-20 01:27:00,2025-05-20 02:44:00+00:00,declined,77.0,5.9,119,1,0,0.278
567,5335,2025-05-20 01:56:00,2025-05-20 03:10:00+00:00,declined,74.0,11.27,302,1,0,0.1177
1007,7239,2025-05-20 02:43:00,2025-05-20 04:00:00+00:00,declined,77.0,1.92,239,2,0,0.1034
999,5462,2025-05-20 05:11:00,2025-05-20 06:59:00+00:00,declined,108.0,14.83,272,5,0,0.1865
1403,8001,2025-05-20 06:43:00,,ignored,,2.39,144,6,0,0.3704
416,3115,2025-05-20 08:15:00,2025-05-20 08:45:00+00:00,declined,30.0,6.12,287,8,0,0.6962
1641,7632,2025-05-20 08:20:00,2025-05-20 09:05:00+00:00,accepted,45.0,5.16,124,8,0,0.7056
14,4563,2025-05-20 08:25:00,2025-05-20 09:18:00+00:00,declined,53.0,12.27,11,8,0,0.3406
310,6226,2025-05-20 09:24:00,,ignored,,1.97,340,9,0,0.207
1052,6026,2025-05-20 10:28:00,,ignored,,23.5,131,10,0,0.2747
866,3338,2025-05-20 10:42:00,2025-05-20 13:00:00+00:00,declined,138.0,17.23,30,10,0,0.2911
1800,1086,2025-05-20 13:12:00,2025-05-20 14:47:00+00:00,accepted,95.0,3.32,255,13,0,0.4134
962,5482,2025-05-20 14:52:00,2025-05-20 15:34:00+00:00,declined,42.0,3.27,61,14,0,0.8112
497,9929,2025-05-20 19:33:00,2025-05-20 22:16:00+00:00,declined,163.0,3.73,222,19,0,0.161
1811,9144,2025-05-20 19:44:00,2025-05-20 20:45:00+00:00,accepted,61.0,6.74,165,19,0,0.5324
1300,5136,2025-05-20 20:52:00,,ignored,,1.63,82,20,0,0.2792
